hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_aws,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_together,inverse_verified_by_llm_google,inverse_verified_by_llm_xai
HP:0005653,moderate generalized osteoporosis,HP:0005477,progressive sclerosis of skull base,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0009434,patchy sclerosis of the middle phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0005746,osteosclerosis of the base of the skull,no,no,no,yes,no,no
HP:0005653,moderate generalized osteoporosis,HP:0100914,sclerosis of the 1st metacarpal,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0009856,patchy sclerosis of proximal phalanx of finger,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0010364,patchy sclerosis of 3rd toe phalanx,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0010388,patchy sclerosis of 5th toe phalanx,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0100944,sclerosis of the distal phalanx of the hallux,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0100923,clavicular sclerosis,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0100933,sclerosis of the proximal phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0005652,cortical sclerosis,yes,no,no,no,no,yes
HP:0005653,moderate generalized osteoporosis,HP:0009646,patchy sclerosis of the distal phalanx of the thumb,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009573,patchy sclerosis of the middle phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010208,patchy sclerosis of proximal toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100917,sclerosis of proximal finger phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100469,patchy sclerosis of the distal phalanx of the 5th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100928,sclerosis of 4th toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100902,sclerosis of the distal phalanx of the 4th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010400,patchy sclerosis of the proximal phalanx of the 2nd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0006392,increased density of long bones,yes,no,no,yes,yes,yes
HP:0005897,severe generalized osteoporosis,HP:0003881,humeral sclerosis,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010352,patchy sclerosis of 2nd toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100942,sclerosis of the distal phalanx of the 5th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005464,craniofacial osteosclerosis,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100934,sclerosis of the proximal phalanx of the 5th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100905,sclerosis of the middle phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010409,patchy sclerosis of the middle phalanx of the 2nd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009772,patchy sclerosis of finger phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004290,sclerosis of hand bones with transverse striations,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100931,sclerosis of the proximal phalanx of the 2nd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0003933,sclerosis of humeral diaphysis,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100913,sclerosis of the proximal phalanx of the thumb,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0002694,sclerosis of skull base,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100909,sclerosis of the proximal phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100910,sclerosis of the proximal phalanx of the 4th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004281,irregular sclerosis of hand bones,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100948,sclerosis of distal toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0003991,osteosclerosis of the ulna,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009494,ivory epiphyses of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010072,patchy sclerosis of the 1st metatarsal,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005450,calvarial osteosclerosis,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100461,patchy sclerosis of the middle phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100906,sclerosis of the middle phalanx of the 4th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004240,sclerotic foci within carpal bones,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009231,patchy sclerosis of the proximal phalanx of the 5th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100939,sclerosis of the distal phalanx of the 2nd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004234,bone-in-a-bone appearance of carpal bones,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100911,sclerosis of the proximal phalanx of the 5th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100919,sclerosis of 3rd finger phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005686,patchy osteosclerosis,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009454,patchy sclerosis of the proximal phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100901,sclerosis of the distal phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010376,patchy sclerosis of 4th toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100900,sclerosis of the distal phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0011002,osteopetrosis,yes,no,yes,yes,yes,yes
HP:0005897,severe generalized osteoporosis,HP:0031051,tarsal sclerosis,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100922,sclerosis of thumb phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100468,patchy sclerosis of the distal phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100943,sclerosis of the proximal phalanx of the hallux,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004054,sclerosis of hand bone,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010234,ivory epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0011001,increased bone mineral density,yes,yes,no,yes,yes,yes
HP:0005897,severe generalized osteoporosis,HP:0000250,dense calvaria,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100904,sclerosis of the middle phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:6000708,femoral osteosclerosis,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100938,sclerosis of the middle phalanx of the 5th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009848,patchy sclerosis of middle phalanx of finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005045,diaphyseal cortical sclerosis,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100907,sclerosis of the middle phalanx of the 5th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004563,increased spinal bone density,yes,no,no,yes,yes,yes
HP:0005897,severe generalized osteoporosis,HP:0010178,patchy sclerosis of toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004223,ivory epiphysis of the distal phalanx of the 5th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004289,sclerotic foci in hand bones,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009399,ivory epiphyses of the 4th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0003880,sclerotic foci of the humerus,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100927,sclerosis of 3rd toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010031,patchy sclerosis of the 1st metacarpal,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100918,sclerosis of 2nd finger phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100930,sclerosis of hallux phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009313,patchy sclerosis of the proximal phalanx of the 4th finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100462,patchy sclerosis of the middle phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0001474,sclerotic scapulae,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0003860,diaphyseal sclerosis of the upper limbs,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100932,sclerosis of the proximal phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100925,sclerosis of foot bone,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100946,sclerosis of proximal toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009585,patchy sclerosis of the proximal phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0006174,metacarpal diaphyseal endosteal sclerosis,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009562,patchy sclerosis of the distal phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010263,ivory epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100467,patchy sclerosis of the distal phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009634,patchy sclerosis of the proximal phalanx of the thumb,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100936,sclerosis of the middle phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0003034,diaphyseal sclerosis,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009191,ivory epiphyses of the metacarpals,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0004286,patchy sclerosis of hand bones,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0006440,increased density of long bone diaphyses,yes,no,no,yes,yes,yes
HP:0005897,severe generalized osteoporosis,HP:0100945,sclerosis of the 1st metatarsal,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0500031,sclerosis of the carpal bones,no,no,no,yes,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100916,sclerosis of middle finger phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009416,ivory epiphyses of the 3rd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009425,patchy sclerosis of the distal phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100929,sclerosis of 5th toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100908,sclerosis of the proximal phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005700,increased bone density with cystic changes,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005746,osteosclerosis of the base of the skull,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100914,sclerosis of the 1st metacarpal,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009856,patchy sclerosis of proximal phalanx of finger,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010388,patchy sclerosis of 5th toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100944,sclerosis of the distal phalanx of the hallux,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100923,clavicular sclerosis,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100465,patchy sclerosis of the proximal phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0009444,patchy sclerosis of 3rd finger phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100924,sclerosis of toe phalanx,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0100935,sclerosis of the middle phalanx of the 2nd toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005789,generalized osteosclerosis,yes,yes,no,yes,yes,yes
HP:0005897,severe generalized osteoporosis,HP:0100933,sclerosis of the proximal phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0005652,cortical sclerosis,yes,no,no,no,no,yes
HP:0005897,severe generalized osteoporosis,HP:0010190,patchy sclerosis of distal toe phalanx,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0006392,increased density of long bones,yes,no,no,no,no,no
HP:0005625,osteoporosis of vertebrae,HP:0010352,patchy sclerosis of 2nd toe phalanx,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0100934,sclerosis of the proximal phalanx of the 5th toe,no,no,no,yes,no,no
HP:0005625,osteoporosis of vertebrae,HP:0004290,sclerosis of hand bones with transverse striations,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0100941,sclerosis of the distal phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0004281,irregular sclerosis of hand bones,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0010072,patchy sclerosis of the 1st metatarsal,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0005450,calvarial osteosclerosis,yes,no,no,no,no,no
HP:0005625,osteoporosis of vertebrae,HP:0004234,bone-in-a-bone appearance of carpal bones,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0005686,patchy osteosclerosis,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0011002,osteopetrosis,yes,no,yes,yes,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0004054,sclerosis of hand bone,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0010234,ivory epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0011001,increased bone mineral density,yes,yes,no,yes,yes,yes
HP:0005625,osteoporosis of vertebrae,HP:0005045,diaphyseal cortical sclerosis,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0004563,increased spinal bone density,yes,yes,no,yes,yes,yes
HP:0005625,osteoporosis of vertebrae,HP:0100462,patchy sclerosis of the middle phalanx of the 4th toe,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0001474,sclerotic scapulae,no,no,no,yes,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0100925,sclerosis of foot bone,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0100467,patchy sclerosis of the distal phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0003034,diaphyseal sclerosis,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0004286,patchy sclerosis of hand bones,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0006440,increased density of long bone diaphyses,yes,no,no,no,no,no
HP:0005625,osteoporosis of vertebrae,HP:0100916,sclerosis of middle finger phalanx,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0005700,increased bone density with cystic changes,yes,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0100914,sclerosis of the 1st metacarpal,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0100924,sclerosis of toe phalanx,no,no,no,no,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0005789,generalized osteosclerosis,yes,no,no,yes,no,yes
HP:0005625,osteoporosis of vertebrae,HP:0005652,cortical sclerosis,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0010252,ivory epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes
HP:0002748,rickets,HP:0100947,sclerosis of middle toe phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0006392,increased density of long bones,yes,no,no,yes,yes,yes
HP:0002748,rickets,HP:0003881,humeral sclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005464,craniofacial osteosclerosis,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0009307,patchy sclerosis of the middle phalanx of the 4th finger,no,no,no,no,no,yes
HP:0002748,rickets,HP:0004290,sclerosis of hand bones with transverse striations,no,no,no,no,no,yes
HP:0002748,rickets,HP:0003933,sclerosis of humeral diaphysis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0002694,sclerosis of skull base,no,no,no,no,no,yes
HP:0002748,rickets,HP:0100466,patchy sclerosis of the proximal phalanx of the 5th toe,no,no,no,no,no,yes
HP:0002748,rickets,HP:0004281,irregular sclerosis of hand bones,no,no,no,no,no,yes
HP:0002748,rickets,HP:0003991,osteosclerosis of the ulna,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009494,ivory epiphyses of the 2nd finger,no,no,no,no,no,yes
HP:0002748,rickets,HP:0010072,patchy sclerosis of the 1st metatarsal,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005450,calvarial osteosclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0004240,sclerotic foci within carpal bones,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005686,patchy osteosclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009454,patchy sclerosis of the proximal phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0002748,rickets,HP:0011002,osteopetrosis,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0031051,tarsal sclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0004054,sclerosis of hand bone,no,no,no,no,no,yes
HP:0002748,rickets,HP:0011001,increased bone mineral density,yes,no,no,yes,yes,yes
HP:0002748,rickets,HP:0000250,dense calvaria,yes,no,no,no,no,yes
HP:0002748,rickets,HP:6000708,femoral osteosclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009848,patchy sclerosis of middle phalanx of finger,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005045,diaphyseal cortical sclerosis,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0009551,patchy sclerosis of 2nd finger phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0004563,increased spinal bone density,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0010178,patchy sclerosis of toe phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0004330,increased skull ossification,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0004289,sclerotic foci in hand bones,no,no,no,no,no,yes
HP:0002748,rickets,HP:0010031,patchy sclerosis of the 1st metacarpal,no,no,no,no,no,yes
HP:0002748,rickets,HP:0010063,patchy sclerosis of hallux phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009313,patchy sclerosis of the proximal phalanx of the 4th finger,no,no,no,no,no,yes
HP:0002748,rickets,HP:0001474,sclerotic scapulae,no,no,no,no,no,yes
HP:0002748,rickets,HP:0003860,diaphyseal sclerosis of the upper limbs,no,no,no,no,no,yes
HP:0002748,rickets,HP:0100925,sclerosis of foot bone,no,no,no,no,no,yes
HP:0002748,rickets,HP:0100899,sclerosis of finger phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0006174,metacarpal diaphyseal endosteal sclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009634,patchy sclerosis of the proximal phalanx of the thumb,no,no,no,no,no,yes
HP:0002748,rickets,HP:0003034,diaphyseal sclerosis,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0100926,sclerosis of 2nd toe phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009191,ivory epiphyses of the metacarpals,no,no,no,no,no,yes
HP:0002748,rickets,HP:0006440,increased density of long bone diaphyses,yes,no,no,yes,no,yes
HP:0002748,rickets,HP:0500031,sclerosis of the carpal bones,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005700,increased bone density with cystic changes,yes,no,no,no,no,yes
HP:0002748,rickets,HP:0005477,progressive sclerosis of skull base,no,no,no,no,no,yes
HP:0002748,rickets,HP:0009377,patchy sclerosis of 5th finger phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005746,osteosclerosis of the base of the skull,no,no,no,no,no,yes
HP:0002748,rickets,HP:0100923,clavicular sclerosis,no,no,no,no,no,yes
HP:0002748,rickets,HP:0100924,sclerosis of toe phalanx,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005789,generalized osteosclerosis,yes,no,no,yes,yes,yes
HP:0002748,rickets,HP:0100464,patchy sclerosis of the proximal phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0002748,rickets,HP:0005652,cortical sclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100917,sclerosis of proximal finger phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0006392,increased density of long bones,yes,no,no,yes,no,yes
HP:0004912,hypophosphatemic rickets,HP:0003881,humeral sclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0010352,patchy sclerosis of 2nd toe phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100942,sclerosis of the distal phalanx of the 5th toe,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005464,craniofacial osteosclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100905,sclerosis of the middle phalanx of the 3rd finger,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0009772,patchy sclerosis of finger phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0004290,sclerosis of hand bones with transverse striations,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0003933,sclerosis of humeral diaphysis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0009840,patchy sclerosis of distal phalanx of finger,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100913,sclerosis of the proximal phalanx of the thumb,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0004281,irregular sclerosis of hand bones,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100940,sclerosis of the distal phalanx of the 3rd toe,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0003991,osteosclerosis of the ulna,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005450,calvarial osteosclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0004234,bone-in-a-bone appearance of carpal bones,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100911,sclerosis of the proximal phalanx of the 5th finger,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005686,patchy osteosclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0010376,patchy sclerosis of 4th toe phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0011002,osteopetrosis,no,no,no,yes,no,yes
HP:0004912,hypophosphatemic rickets,HP:0031051,tarsal sclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100922,sclerosis of thumb phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0004054,sclerosis of hand bone,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0011001,increased bone mineral density,yes,no,no,yes,no,yes
HP:0004912,hypophosphatemic rickets,HP:6000708,femoral osteosclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100938,sclerosis of the middle phalanx of the 5th toe,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0009655,patchy sclerosis of thumb phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005045,diaphyseal cortical sclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0010021,ivory epiphysis of the 1st metacarpal,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100907,sclerosis of the middle phalanx of the 5th finger,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0004563,increased spinal bone density,yes,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0004289,sclerotic foci in hand bones,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100463,patchy sclerosis of the middle phalanx of the 5th toe,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0003880,sclerotic foci of the humerus,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100927,sclerosis of 3rd toe phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100925,sclerosis of foot bone,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0010199,patchy sclerosis of middle toe phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100899,sclerosis of finger phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100946,sclerosis of proximal toe phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0003034,diaphyseal sclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100920,sclerosis of 4th finger phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0006440,increased density of long bone diaphyses,yes,no,no,yes,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100916,sclerosis of middle finger phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100908,sclerosis of the proximal phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005700,increased bone density with cystic changes,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005477,progressive sclerosis of skull base,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100923,clavicular sclerosis,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0009444,patchy sclerosis of 3rd finger phalanx,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005789,generalized osteosclerosis,yes,no,no,yes,no,yes
HP:0004912,hypophosphatemic rickets,HP:0100933,sclerosis of the proximal phalanx of the 4th toe,no,no,no,no,no,yes
HP:0004912,hypophosphatemic rickets,HP:0005652,cortical sclerosis,no,no,no,no,no,yes
HP:0040161,localized osteoporosis,HP:0009573,patchy sclerosis of the middle phalanx of the 2nd finger,no,no,no,no,no,yes
HP:0040161,localized osteoporosis,HP:0010252,ivory epiphyses of the distal phalanges of the hand,no,no,no,no,no,yes
